clinicName,website,city,province,score,tier,email,contactPage,method,status,subject
"Saban Dental","https://www.sabandental.com","Toronto","ON","","","sabandental@live.com","","email","cooling_off",""
"Tom Ken Dental","https://tomkendental.com","Toronto","ON","","","reception@tomkendental.com","","email","bounced",""
"Toronto Lakeshore Dental","https://www.torontolakeshoredental.ca/?utm_source=local&utm_medium=organic&utm_campaign=gbp_home","Toronto","ON","","","info@torontolakeshoredental.ca","","manual","sent",""
"Braydon Dental Care","https://www.braydondentalcare.com","Toronto","ON","","","contact@braydondentalcare.com","","email","skip_low_quality",""
"Toronto, ON","https://www.dentistryondupont.ca","Toronto","ON","","","dentistryondupont@gmail.com","","email","already_equipped",""
"Dental Hygiene Group","https://dentalhygienegroup.ca","Toronto","ON","","","info@dentalhygienegroup.ca","","email","skip_low_quality",""
"Roncesvalles Dental","https://www.roncesvallesdentalcentre.com","Toronto","ON","","","info@roncesvallesdentalcentre.com","","email","skip_low_quality",""
"Four Season Dental Care","http://www.4seasons-dental.com","Toronto","ON","","","","","manual","todo",""
"Queens Plate","https://www.queensplatedental.com/?utm_source=GMB_Listing&utm_medium=organic&utm_campaign=Website_URL","Toronto","ON","","","queensplatedental@gmail.com","","manual","followup_2_sent",""
"Parkview","https://www.parkviewdentaltoronto.com/","Toronto","ON","","","info@parkviewdentaltoronto.com","","manual","todo",""
"Eringate Dental","http://www.eringatedental.com/","Toronto","ON","","","info@eringatedental.com","","manual","sent",""
"Dr. Karen Kassabian - I enjoy the profession of dentistry and strive to provide excellent clinical care with gentle personal attention","https://karenkassabian.com","Toronto","ON","","","info@karenkassabian.com","","email","skip_low_quality",""
"harbord","https://www.harborddentistry.com","Toronto","ON","","","info@harborddentistry.com","","email","skip_low_quality",""
"Dr. Alain Nourkeyhani","http://cliniquedelamontagne.com/","Toronto","QC","","","cdlm.info@gmail.com","","manual","followup_2_sent",""
"Bathurst Dupont","https://www.bathurstdupont.com","Toronto","ON","","","dr.d@bathurstdupont.com","","email","bounced",""
"Smile Design Dental Studio","http://www.smilebydesigndentalstudios.com/","Toronto","ON","","","info@smilebydesigndentalstudios.com","","manual","followup_2_sent",""
"Bloor Kipling Dentistry in Etobicoke","https://www.bloorkiplingdentistry.com/site/home?utm_source=G&utm_medium=LPM&utm_campaign=DentalCorp","Toronto","ON","","","info@bloorkiplingdentistry.com","","manual","sent",""
"Arlington Dental (Ontario)","https://arlingtondental.ca","Toronto","ON","","","info@arlingtondental.ca","","email","skip_low_quality",""
"West Etobicoke Dental","https://westetobicokedental.ca","Toronto","ON","","","info@westetobicokedental.ca","","email","skip_low_quality",""
"EmergDENT - Emergency, Urgent & General Dental Care","https://www.emergdent.com","Toronto","ON","","","info@emergdent.com","","email","skip_low_quality",""
"J. Kennedy Dentistry","http://www.kennedydental.ca/","Toronto","ON","","","info@kennedydental.ca","","manual","bounced",""
"Chiu Helen Dr","https://www.drhelenchiupaediatricdentistry.ca","Toronto","ON","","","info@drhelenchiupaediatricdentistry.ca","","email","skip_low_quality",""
"Bloor Dental","https://bloordentalclinic.com","Toronto","ON","","","info@bloordentalclinic.com","","email","skip_low_quality",""
"Cliffside Dental and North Shores","https://www.northshoresdental.com","Toronto","ON","","","admin@northshoresdental.com","","email","skip_low_quality",""
"Smile Dental Toronto","https://smiledentaltoronto.com/","Toronto","ON","","","INFO@SMILEDENTALTORONTO.CA","","manual","sent",""
"Village","https://villagedental.ca","Toronto","ON","","","hello@villagedental.ca","","email","skip_low_quality",""
"Mint Dentistry","https://www.mintdentistry.ca","Toronto","ON","","","queenwest@mintdentistry.ca","","email","cooling_off",""
"Lisgar Park","https://lisgarparkdental.com","Toronto","ON","","","info@lisgarparkdental.com","","email","skip_low_quality",""
"North Queen","https://www.nqdental.com","Toronto","ON","","","info@nqdental.com","","email","skip_low_quality",""
"Cosentino Dental Care","https://cosentinodentalcare.ca/","Toronto","ON","","","contact@cosentinodentalcare.ca","","manual","sent",""
"Kingsway Family","https://kfdent.ca/","Toronto","ON","","","reception@kfdent.ca","","email","followup_2_sent",""
"Thomas Vesz, Endodontist","http://www.westendo.com/index.html","Toronto","ON","","","info@westendo.com","","manual","followup_2_sent",""
"Studio Dental","https://www.studiodentalcentres.ca/","Toronto","ON","","","info@studiodentalcentres.ca","","manual","bounced",""
"Berco & DeLuca Orthodontics","http://bdortho.com","Toronto","ON","","","info@bdortho.com","","email","skip_low_quality",""
"Bloor West Dental Group","https://bloorwestdentalgroup.com/?utm_campaign=gmb/?cc=book&utm_source=GMB_Listing&utm_medium=organic&utm_campaign=GMB","Toronto","ON","","","office@bloorwestdentalgroup.com","","email","sent",""
"Bloor Smile","https://bloorsmiledental.ca/","Toronto","ON","","","bloorsmiledental@gmail.com","","email","sent",""
"Bond Street","https://www.dentalimplantsclinic.ca/?utm_campaign=gmb","Toronto","ON","","","info@dentalimplantsclinic.ca","","manual","sent",""
"Clovedent Family","http://www.clovedent.com/","Toronto","ON","","","office@clovedent.com","","email","sent",""
"MJ Dental Care","https://www.mjdental.com","Toronto","ON","","","info@mjdental.com","","email","skip_low_quality",""
"Smile Care Dental","http://smilecareonstclair.com/","Toronto","ON","","","info@smilecare.ca","","manual","sent",""
"Queen Dental","https://queendental718.com/","Toronto","ON","","","reception@queendental718.com","","email","followup_2_sent",""
"College & Dufferin Dental Clinic","https://dufferinmalldental.com/?cc=book&utm_source=GMB_Listing&utm_medium=organic&utm_campaign=GMB","Toronto","ON","","","info@collegedufferindental.com","","manual","sent",""
"Smile On Baby Point | Toronto Dentist on Jane St","https://smileonbabypoint.com","Toronto","ON","","","info@smileonbabypoint.com","","email","skip_low_quality",""
"Bloor West & High Park Dental","https://littlegreenbuilding.com","Toronto","ON","","","littlegreenbuilding@gmail.com","","email","already_equipped",""
"Bloor Lansdowne Dental","https://www.bloorlansdownedental.ca/?utm_source=GMB_Listing&utm_medium=organic&utm_campaign=Website_URL","Toronto","ON","","","info@bloorlansdownedental.ca","","manual","sent",""
"Bloor West Village Dental Care","https://bloorwestdentalgroup.com/?utm_campaign=gmb/?cc=book&utm_source=GMB_Listing&utm_medium=organic&utm_campaign=GMB","Toronto","ON","","","office@bloorwestdentalgroup.com","","manual","todo",""
"Bloor Dufferin Dental Centre | Family and Cosmetic Dentistry - Emergency Appointments Accepted","https://bloordufferindental.com","Toronto","ON","","","info@bloordufferindental.com","","email","skip_low_quality",""
"High Park Smile Studio - Dr. Bhoomika Piplani - 1790 Bloor Street West, Toronto","https://www.highparkdentist.com","Toronto","ON","","","dentistry@highparkdentist.com","","email","skip_duplicate",""
"Dante's Boarding - Doggy Daycare and Boarding at Etobicoke, Toronto, Mississauga and Port Credit","https://dantesboarding.com","Toronto","ON","","","dantesboarding@gmail.com","","email","skip_not_dental",""
"Love Your Teeth","https://www.loveyourteeth.ca","Toronto","ON","","","info@campusdentalnorth.com","","manual","followup_2_sent",""
"King West Dentistry","https://kingwestdentistry.ca/","Toronto","ON","","","info@kingwestdentistry.com","","manual","bounced",""
"Family Dentist Bloor West Village | The Village Dentist — Dr. Abinaash Kaur","https://thevillagedentist.com","Toronto","ON","","","info@thevillagedentist.com","","email","skip_low_quality",""
"East Mall Family","https://www.eastmalldental.com","Toronto","ON","","","eastmalldental@gmail.com","","email","cooling_off",""
"Karen","https://karendental.com","Toronto","ON","","","karen@karendental.com","","email","cooling_off",""
"Aldent Smile Dentistry","http://www.aedentalart.com/","Toronto","ON","","","aedentalart@gmail.com","","manual","followup_2_sent",""
"Parkwoods Dental","https://www.parkwoodsdental.ca","Toronto","ON","","","client@parkwoodsdental.ca","","email","skip_duplicate",""
"Home","https://annexorthoperio.com","Toronto","ON","","","info@annexorthoperio.com","","email","skip_low_quality",""
"MH2 Dental","https://www.mh2dental.com","Toronto","ON","","","eglinton@mh2dental.com","","email","skip_duplicate",""
"Welcome | Etobicoke, Ontario | Titan","https://titandental.ca","Toronto","ON","","","titandental7@gmail.com","","email","low_confidence",""
"City of Toronto","http://citydentaltoronto.com/","Toronto","ON","","","info@toronto.ca","","manual","bounced",""
"Riverside Dental Center | Queen East","https://www.riversidedentalcenter.ca","Toronto","ON","","","info@riversidedentalcenter.ca","","email","skip_low_quality",""
"Smile Squad","http://www.smilesquad.ca/","Toronto","ON","","","info@smilesquad.ca","","manual","bounced",""
"Dr. Halyna Hrynash DDS Dentistry on the Avenue","https://www.dentistryontheavenue.com/","Toronto","ON","","","dentistryontheavenue@gmail.com","","manual","sent",""
"Waterview Dental Toronto","https://www.waterviewdentaltoronto.com/","Toronto","ON","","","info@waterviewdentaltoronto.com","","manual","todo",""
"City Dental on Yonge","https://citydentaltoronto.com/","Toronto","ON","","","bay@citydentaltoronto.com","","manual","sent",""
"Dentistry @ Equinox","https://dentistryequinox.com/scarborough-dentist","Toronto","ON","","","info@equinoxdentalhub.com","","manual","bounced",""
"Tooth Fairy Dental on Eglinton","https://www.toothfairydentaleglinton.com/","Toronto","ON","","","smile@toothfairydentaleglinton.com","","manual","sent",""
"Dupont","https://dupontdentistry.com","Toronto","ON","","","info@dupontdentistry.com","","email","skip_low_quality",""
"Galloro Dental Group","https://gallorodentalgroup.com","Toronto","ON","","","hellosummerhill@gallorodentalgroup.com","","email","skip_duplicate",""
"Dentist in Etobicoke, ON","https://www.torontolakeshoredental.ca/?utm_source=local&utm_medium=organic&utm_campaign=gbp_home","Toronto","ON","","","info@torontolakeshoredental.ca","","manual","todo",""
"Dental Land Summerhill","https://dentalland.ca/","Toronto","ON","","","info@dentalland.ca","","manual","sent",""
"Aberfoyle","https://www.aberfoyledental.ca","Toronto","ON","","","aberfoyle@aberfoyledental.ca","","email","skip_duplicate",""
"Dr. Mark Rhody","https://etobicokedentist.com/","Toronto","ON","","","reception@etobicokedentist.com","","email","followup_2_sent",""
"Maxilla Dental","https://maxilladental.com/","Toronto","ON","","","info@maxilladental.com","","manual","sent",""
"Dr. Kacicnik & Associates Dental Office","https://drkacicnikdental.com","Toronto","ON","","","","","manual","todo",""
"Birchcliff","https://birchcliffdental.ca","Toronto","ON","","","info@birchcliffdental.ca","","email","skip_low_quality",""
"BALSAM","https://www.balsamdental.com","Toronto","ON","","","info@balsamdental.com","","email","skip_low_quality",""
"Dentist in Beaches Toronto, ON","https://torontobeachdental.com/?cc=book&utm_source=GMB_Listing&utm_medium=organic&utm_campaign=GMB","Toronto","ON","","","info@torontobeachdental.com","","manual","todo",""
"Dr. Dagys Orthodontics","http://www.drdagysorthodontics.com/","Toronto","ON","","","dr.arlenedagys@rocketmail.com","","manual","followup_2_sent",""
"Bond Street","https://www.dentalimplantsclinic.ca","Toronto","ON","","","info@dentalimplantsclinic.ca","","email","skip_low_quality",""
"Home | Toronto Sleep","https://www.416sleepdentistry.ca","Toronto","ON","","","info@416sleepdentistry.ca","","email","skip_low_quality",""
"Kingsview Dental","https://kingsviewdentaltoronto.com","Toronto","ON","","","info@kingsviewdentaltoronto.com","","email","skip_low_quality",""
"Bedford Park Dental","https://www.theparksdentistry.com/","Toronto","ON","","","info@bedfordparkdental.com","","manual","todo",""
"Dent Leslieville","https://dentleslieville.ca","Toronto","ON","","","dentleslieville@outlook.com","","email","skip_duplicate",""
"Dental Metaverse","https://dentalmetaverseclinic.com","Toronto","ON","","","contact@dentalmetaverseclinic.com","","email","skip_low_quality",""
"Bite","https://bitedental.ca","Toronto","ON","","","info@bitedental.ca","","email","skip_low_quality",""
"Dental Care For You - Visit our Scarborough Dental Office for all your Toronto Dental Care needs","http://www.dentalcareforyou.ca/","Toronto","ON","","","info@dentalcareforyou.ca","","manual","todo",""
"Casa Dental","https://www.casadental.ca","Toronto","ON","","","king@casadental.ca","","email","already_equipped",""
"T-Dot","https://tdotdental.ca","Toronto","ON","","","info@tdotdental.ca","","email","skip_low_quality",""
"Waterview","https://www.waterviewdentaltoronto.com/","Toronto","ON","","","info@waterviewdentaltoronto.com","","manual","todo",""
"Dental Health","http://dentalhealthclinic.ca/","Toronto","ON","","","admin@dentalhealthclinic.ca","","manual","todo",""
"Swansea Dentistry – Comprehensive Dental Care","https://www.swanseadentistry.com","Toronto","ON","","","info@swanseadentistry.com","","email","skip_low_quality",""
"Dentist in Downtown Toronto, ON","https://www.dentistondundas.ca","Toronto","ON","","","info@dentistondundas.ca","","email","skip_low_quality",""
"DentalLand Leslieville","https://dentallandleslieville.ca","Toronto","ON","","","info@dentallandleslieville.ca","","email","skip_low_quality",""
"SUMACH","https://sumachdental.com","Toronto","ON","","","info@sumachdental.com","","email","skip_low_quality",""
"Urbanview","https://www.urbanviewdentaltoronto.com","Toronto","ON","","","info@urbanviewdentaltoronto.com","","email","skip_low_quality",""
"smileavenue.ca","https://smileavenue.ca","Toronto","ON","","","info@smileavenue.ca","","email","skip_low_quality",""
"The Richmond Dental","https://www.therichmonddentalcentre.com/","Toronto","ON","","","info@therichmonddentalcentre.com","","manual","todo",""
"Gerrard Dental Care","https://gerrarddentalcare.com/","Toronto","ON","","","info@gerrarddentalcare.com","","manual","todo",""
"Leslieville","https://www.leslievilledentistry.com","Toronto","ON","","","info@leslievilledentistry.com","","email","skip_low_quality",""
"Dr. Dalmao","https://www.drdalmao.com","Toronto","ON","","","infodundas@drdalmao.com","","email","skip_duplicate",""
"Broadway","https://www.broadwaydentalclinic.com","Toronto","ON","","","info@broadwaydentalclinic.com","","email","skip_low_quality",""
"Dentistry On The Q","http://dentistryontheq.ca/","Toronto","ON","","","info@dentistryontheq.com","","manual","todo",""
"Dixie Dental Associates","https://dixiedentalassociates.ca/","Toronto","ON","","","info@dixiedentalassociates.ca","","manual","followup_2_sent",""
"Six Points Plaza Dental","http://www.sixpointsplazadental.ca/","Toronto","ON","","","info@sixpointsplazadental.ca","","manual","todo",""
"Main Street Dental","http://mainstreetdentaloffice.com/","Mississauga","ON","","","","","manual","todo",""
"Dentistry On 10","http://www.dentistryon10.com/","Mississauga","ON","","","reception@dentistryon10.com","","email","todo",""
"Port Credit Smiles","https://portcreditsmiles.ca","Mississauga","ON","","","portcreditsmiles@gmail.com","","email","already_equipped",""
"Denture Works","https://www.toothworks.com/site/at-square-one-clinic-mississauga?utm_source=G&utm_medium=LPM&utm_campaign=DentalCorp","Mississauga","ON","","","info@dentureworks.ca","","manual","todo",""
"Dentistry In The Village | Dr. Kim Dobson | Fonthill","https://www.dentistryinthevillage.ca","Mississauga","ON","","","info@dentistryinthevillage.ca","","email","skip_low_quality",""
"The Tooth Corner","http://toothcorner.com/scarborough-dentist/","Mississauga","ON","","","help@toothcorner.com","","email","low_confidence",""
"LakeView Dental Centre","http://lakeviewdentistrydds.com/","Mississauga","ON","","","smile@lakeviewdentalcentre.ca","","email","already_equipped",""
"Northshore","http://www.northshoredentistry.ca/","Mississauga","ON","","","eben@eyebytes.com","","manual","bounced",""
"Toor Dentistry","https://toordentistry.com","Mississauga","ON","","","paul@toordentistry.com","","email","already_equipped",""
"Sherwood","https://sherwoodforrestdental.com/?utm_source=GoogleOrganic&utm_medium=GMBwebsite&utm_campaign=GMBWebsiteLink","Mississauga","ON","","","info@sherwooddental.ca","","manual","todo",""
"Heritage House","http://www.heritagehousedental.ca/","Mississauga","ON","","","smile@heritagehousedental.ca","","email","todo",""
"Ananthan And Assoc 1","https://smilesmile.ca","Mississauga","ON","","","info@smilesmile.ca","","email","skip_low_quality",""
"Sheridan Garden Dentist","https://www.sheridandentaloffice.com/","Mississauga","ON","","","info@sheridandentaloffice.com","","manual","todo",""
"Sana","https://sanadentistry.ca","Mississauga","ON","","","info@sanadentistry.ca","","email","skip_low_quality",""
"Southdown Dental","http://southdowndental.com/?utm_source=google&utm_medium=gmb","Mississauga","ON","","","info@southdowndental.com","","manual","todo",""
"Lorne Park Dentistry","https://www.lorneparkdentistry.com","Mississauga","ON","","","missy@lorneparkdentistry.com","","email","cooling_off",""
"Chin Up and Smile - Dr. Andrea Carvalho","https://chinupandsmile.com","Mississauga","ON","","","drsmile@chinupandsmile.com","","email","already_equipped",""
"Lifestyle","https://www.lifestyledentistry.ca/?utm_source=gmb_listing&utm_medium=organic&utm_campaign=website_url","Mississauga","ON","","","info@lifestyledentistry.ca","","manual","todo",""
"Pearl Dental Care","https://www.pearldentalcare.ca","Mississauga","ON","","","205pearldental@gmail.com","","email","low_confidence",""
"Roberts D Denture","https://www.rbdenture.com","Mississauga","ON","","","info@rbdenture.com","","email","skip_low_quality",""
"Elsheikh Dental – Exceeding your expectations of a beautiful smile!","http://www.elsheikhdental.com/","Mississauga","ON","","","info@elsheikhdental.com","","manual","bounced",""
"Creditview Dental in Mississauga | Your Mississauga","https://www.creditviewdental.com/site/home?utm_source=G&utm_medium=LPM&utm_campaign=DentalCorp","Mississauga","ON","","","info@creditviewdental.com","","manual","bounced",""
"Dentist Mississauga","https://www.cityheightsdental.com","Mississauga","ON","","","info@cityheightsdental.com","","email","skip_low_quality",""
"Churchill Glen","http://www.churchillglendental.com","Mississauga","ON","","","858dental@gmail.com","","email","low_confidence",""
"9th Line","https://www.9thlinedental.ca","Mississauga","ON","","","info@9thlinedental.ca","","email","skip_low_quality",""
"Dr. Ali Mirjan","http://www.lakeviewdentalcentre.ca/","Mississauga","ON","","","smile@lakeviewdentalcentre.ca","","manual","todo",""
"Dr. Dalia Henein","http://www.shineteeth.com/","Mississauga","ON","","","frontdesk@shineteeth.com","","manual","followup_2_sent",""
"Jauhal","https://jauhaldental.com/","Mississauga","ON","","","info@jauhaldental.com","","manual","todo",""
"Family Dentistry by Dr. Isaac Gabay | Mississauga","https://dentistsmississauga.ca/","Mississauga","ON","","","appts@dentistsmississauga.ca","","email","followup_2_sent",""
"The Dental Team","http://www.mavisbristoldental.com","Mississauga","ON","","","info@mavisbristoldental.com","","email","skip_low_quality",""
"Markic Dental – Mississauga, Ontario DentistMarkic","https://www.markicdental.com","Mississauga","ON","","","info@markicdental.com","","email","skip_low_quality",""
"Mississaga Dentist | Dreamcrest Dental Care and Dentistry@MaviSteeles | Brampton","http://www.keepsmiling.ca","Mississauga","ON","","","info@keepsmiling.ca","","email","skip_low_quality",""
"Mississauga Dentist & Dental Office - Confederation","https://www.confederationdental.com","Mississauga","ON","","","info@confederationdental.com","","email","skip_low_quality",""
"Mistry","http://www.mistrydental.ca/","Mississauga","ON","","","info@mistrydental.ca","","manual","bounced",""
"Bristol Dental","https://bristoldental.ca","Mississauga","ON","","","info@bristoldental.ca","","email","skip_low_quality",""
"Family Dental Care","https://www.ottawadentist.ca/?utm_campaign=gmb","Mississauga","ON","","","youremail@gmail.com","","email","bounced",""
"Urban Dental Centre","https://urbandentalcentre.com/","Mississauga","ON","","","urban@brushdentists.com","","manual","followup_2_sent",""
"Southcommon Dental","https://www.southcommondental.com/site/home?utm_source=G&utm_medium=LPM&utm_campaign=DentalCorp","Mississauga","ON","","","info@southcommondental.com","","manual","todo",""
"VanMills Dental - The Office of Dr.Demarchi","http://www.demarchidental.com/","Mississauga","ON","","","demarchidental@bellnet.ca","","manual","followup_2_sent",""
"Derry Village Dental Care","https://www.derrydental.com","Mississauga","ON","","","info@derrydental.com","","manual","todo",""
"The Dental Team","http://creditviewcreekdental.com","Mississauga","ON","","","info@creditviewcreekdental.com","","email","skip_low_quality",""
"Mavis Dental","https://mavisdentalcentre.com","Mississauga","ON","","","mavisdentalcentre@hotmail.com","","email","cooling_off",""
"Century City Dental","http://centurycitydental.ca/","Mississauga","ON","","","drjbdental@gmail.com","","manual","sent",""
"familycare","http://www.familycaredental.ca","Mississauga","ON","","","info@familycaredental.ca","","email","skip_low_quality",""
"Sandalwood Dental","http://www.sandalwooddental.ca/","Mississauga","ON","","","info@sandalwooddental.ca","","manual","bounced",""
"Schellenberg Dentistry","https://www.dental-cosmetics.ca","Mississauga","ON","","","","","manual","todo",""
"Trelawny Dental","https://trelawnydental.com","Mississauga","ON","","","trelawnydental@hotmail.com","","email","cooling_off",""
"Home of","http://mississaugadentalhouse.com/","Mississauga","ON","","","info@homeofdentistry.ca","","manual","todo",""
"West Mississauga Dental | Creating Healthy Smiles","https://mississaugawestdental.ca/","Mississauga","ON","","","info@westmississaugadental.com","","manual","bounced",""
"Mississauga Family Dentistry - Website","https://www.mississaugafamilydentistry.com","Mississauga","ON","","","%20info@mississaugafamilydentistry.com","","email","low_confidence",""
"Mississauga","https://mississaugasmilesdentistry.com/?utm_source=GMB_Listing&utm_medium=organic&utm_campaign=Website_URL","Mississauga","ON","","","reception@mississaugadental.ca","","email","followup_2_sent",""
"MiSmile Dental","http://www.mismiledental.com/","Mississauga","ON","","","info@mismiledental.com","","manual","todo",""
"Reliable Dentists - Three Mississauga Locations | Erinwood Dental | Serving Patients from Mississauga, Oakville and Etobicoke","https://www.erinwooddental.com/locations/dunwin?utm_source=&utm_medium=organic&utm_campaign=gmb-listing","Mississauga","ON","","","office@erinwooddental.com","","email","followup_2_sent",""
"Woodchester Dental","https://sherwoodforrestdental.com/?utm_source=GoogleOrganic&utm_medium=GMBwebsite&utm_campaign=GMBWebsiteLink","Mississauga","ON","","","info@sherwoodforrestdental.com","","manual","todo",""
"Mississauga Dentists | Dr. Neil J. Gajjar Associates & Specialists | Serving Mississauga and Brampton families from our convenient Meadowvale","https://www.drgajjar.com","Mississauga","ON","","","appointment@drgajjar.com","","email","skip_duplicate",""
"Smile Centre Skymark","https://skymarksmilecentre.ca/?utm_source=google&utm_medium=organic&utm_campaign=google_business_profile","Mississauga","ON","","","info@skymarksmilecentre.ca","","manual","bounced",""
"Dr. Gagan Bhalla Orthodontist","https://www.braces4u.ca/","Mississauga","ON","","","info@braces4u.ca","","manual","bounced",""
"Smile Valley Dental Centre","http://www.smilevalleydental.ca","Mississauga","ON","","","info@smilevalleydental.ca","","email","skip_low_quality",""
"Erin Mills Dental Centre – Your Smile","https://erinmillsdental.com","Mississauga","ON","","","info@erinmillsdental.com","","email","skip_low_quality",""
"ErinParkDentalHome","https://www.erinparkdental.com","Mississauga","ON","","","info@erinparkdental.com","","email","skip_low_quality",""
"Parkside Village","http://www.parksidevillagedental.com","Mississauga","ON","","","info@parksidevillagedental.com","","email","skip_low_quality",""
"Woodland Dental","http://www.woodlandsdentalcentre.com","Mississauga","ON","","","dentistwoodland@gmail.com","","email","cooling_off",""
"Lakeview","https://lakeviewdentistrydds.com","Mississauga","ON","","","info@lakeviewdentistrydds.com","","email","skip_low_quality",""
"LAKEVIEW DENTURE CLINIC - MISSISSAUGA DENTURIST","https://www.lakeviewdentureclinic.ca","Mississauga","ON","","","lakeviewdentureclinic@gmail.com","","email","already_equipped",""
"Dental Clinic Burlington, Oakville & Mississauga","https://www.chaggerdental.com","Mississauga","ON","","","oakville@chaggerdental.com","","email","skip_low_quality",""
"Dentistry on Lakeshore","https://dentistryonlakeshore.com/","Mississauga","ON","","","info@dentistryonlakeshore.com","","manual","todo",""
"AXIS Dental Group","https://www.axisdental.ca/?cc=book&utm_source=GMB_Listing&utm_medium=organic&utm_campaign=GMB","Mississauga","ON","","","info@drpapneja.com","","manual","todo",""
"Iris Dental Group","https://irisdentalgroup.com","Mississauga","ON","","","mississauga@irisdentalgroup.com","","email","skip_duplicate",""
"Dental Clinics and Family Dentists Near You | Dawson Dental Care","https://mississaugafamilydentistry.com/","Mississauga","ON","","","info@dawsondental.ca","","manual","todo",""
"Trusted Brampton Dentists | Family & Cosmetic Dental Care – 905","https://www.905dental.ca/?utm_source=GMB_Listing&utm_medium=organic&utm_campaign=Website_URL","Mississauga","ON","","","smiles@905dental.ca","","email","sent",""
"Brampton Dentist | Dr. Pat Martino","http://drpatmartinodental.ca/","Mississauga","ON","","","frontdesk@drpatmartinodental.ca","","email","already_equipped",""
"Kenedy Ruth Dental C","https://www.kenedyruthdentalcentre.com","Mississauga","ON","","","kenedyruthdentalcentre@yahoo.ca","","email","cooling_off",""
"Kazman Family Dental in Brampton, ON","https://www.kazmanfamilydental.com/","Mississauga","ON","","","info@goodmedicinedpc.com","","manual","todo",""
"Nanwood","https://nanwooddental.com","Mississauga","ON","","","info@nanwooddental.com","","email","skip_low_quality",""
"Brittany Dental Centre","http://brittanydental.com/","Mississauga","ON","","","info@brittanydental.com","","manual","todo",""
"Mississauga Dentist - Eye Smile","https://eyesmile.ca/?utm_source=google&utm_medium=organic&utm_campaign=GBP","Mississauga","ON","","","info@eyesmile.ca","","manual","todo",""
"Meadowvale Dental Group","https://www.meadowvaledental.com/?cc=book&utm_source=GMB_Listing&utm_medium=organic&utm_campaign=GMB","Mississauga","ON","","","appt@meadowvaledental.com","","email","followup_2_sent",""
"Thesmile","https://www.thesmilecentre.com","Mississauga","ON","","","info@thesmilecentre.com","","email","skip_low_quality",""
"Family Dental Care","https://www.familydentalcare.ca","Mississauga","ON","","","info@familydentalcare.ca","","email","followup_2_sent",""
"Dentist in Mississauga | Lorne Park Dental Associates","https://lorneparkdental.com","Mississauga","ON","","","mail@lorneparkdental.com","","email","skip_low_quality",""
"Winston Churchill","http://www.wcdental.ca/","Mississauga","ON","","","kate.bazydlo@wcdental.ca","","email","sent",""
"The Dental Team","http://www.sunnyridgedental.com","Brampton","ON","","","info@sunnyridgedental.com","","email","skip_low_quality",""
"dentalworks4kids","https://www.dentalworks4kids.com/pediatric-dentist-brampton-west/?utm_source=GMB_Listing&utm_medium=organic&utm_campaign=Website_URL","Brampton","ON","","","vaughan@dw4k-align.com","","manual","followup_2_sent",""
"Charolais","https://drsimratdentistry.com","Brampton","ON","","","hosted@drsimratdentistry.com","","email","bounced",""
"Advanced Bionics","https://bramptonsmiles.com/","Brampton","ON","","","staffdrpkahlon@gmail.com","","manual","followup_2_sent",""
"Brampton, ON Renowned Family Dentist - Bramcountry","http://bramcountrydental.com/","Brampton","ON","","","info@bramcountrydental.com","","manual","todo",""
"Dentist Brampton, ON","https://salvaggiodentistry.ca","Brampton","ON","","","salvaggiodentistry@gmail.com","","email","cooling_off",""
"BluSky Dental Holland Cross Ottawa - Personalized Family Dentistry in Westboro, Ottawa","http://www.bluskydental.ca/","Ottawa","ON","","","hollandcrossreception@blusky.dental","","manual","sent",""
"Trillium","https://www.trilliumdental.ca","Ottawa","ON","","","altavista@trilliumdental.ca","","email","already_equipped",""
"Smiles On sparks","https://smilesonsparks.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp_profile&utm_content=website_link","Ottawa","ON","","","reception@smilesonsparks.com","","email","followup_2_sent",""
"Skyline Dental Associates, Ottawa","https://www.skylinedentalassociates.ca/","Ottawa","ON","","","info@hogsbackdental.ca","","manual","todo",""
"Mersal Dental Formally Centre Dentaire Dalhousie Dental Centre","https://www.mersaldental.ca/","Ottawa","ON","","","mersaldental@gmail.com","","manual","todo",""
"Westend Dental","https://www.westenddentalclinic.com","Ottawa","ON","","","example@mysite.com","","manual","bounced",""
"Legget Drive Dental","http://leggetdental.ca/","Ottawa","ON","","","Emaildentalleggetdrive@gmail.com","","manual","bounced",""
"Séguin Dental | General & Cosmetic Dentist Ottawa, ON","https://www.seguindental.ca/","Ottawa","ON","","","info@seguindental.ca","","manual","bounced",""
"Clinique Dentaire Gatineau, dentiste à Gatineau","https://www.cdentairegatineau.com/","Ottawa","ON","","","info@cdentairegatineau.com","","manual","todo",""
"Clinique Dentaire D'Aylmer, Gatineau Dentiste","https://dentisterieaylmer.com/","Ottawa","ON","","","info@cliniquedentairedubreuil-levesque.com","","manual","todo",""
"Clinique Médico-Dentaire de la Gatineau","http://www.cliniquemedicodentaire.com/","Ottawa","ON","","","info@cliniquemedicodentaire.com","","manual","todo",""
"Ottawa Dentist, Family Dental Clinic Billings Bridge, Dr Halina Kubicka","https://yourottawadentist.com","Ottawa","ON","","","drkubickadentalcare@gmail.com","","email","cooling_off",""
"Ottawa East Endodontics","https://www.ottawa-east-endodontics.com","Ottawa","ON","","","info@ottawa-east-endodontics.com","","manual","bounced",""
